MatrixIndex,ConditionNumber,MatlabCond,PinvDifference
532,9.461848195,9.461848195,6.19E-15
533,10.13925408,10.13925408,6.33E-15
534,10.86515775,10.86515775,6.01E-15
535,11.64303133,11.64303133,5.26E-15
536,12.47659553,12.47659553,6.05E-15
537,13.36983742,13.36983742,5.24E-15
538,14.32702953,14.32702953,5.37E-15
539,15.35275029,15.35275029,5.23E-15
540,16.45190588,16.45190588,5.48E-15
541,17.62975375,17.62975375,5.16E-15
542,18.89192776,18.89192776,5.53E-15
543,20.2444651,20.2444651,6.34E-15
544,21.69383518,21.69383518,4.69E-15
545,23.2469706,23.2469706,5.18E-15
546,24.91130026,24.91130026,5.19E-15
547,26.69478494,26.69478494,4.71E-15
548,28.60595535,28.60595535,4.65E-15
549,30.65395295,30.65395295,4.54E-15
550,32.84857366,32.84857366,5.23E-15
551,35.20031473,35.20031473,6.30E-15
552,37.72042493,37.72042493,5.16E-15
553,40.4209584,40.4209584,6.96E-15
554,43.31483223,43.31483223,6.65E-15
555,46.41588834,46.41588834,4.96E-15
556,49.73895959,49.73895959,9.82E-15
557,53.29994081,53.29994081,9.90E-15
558,57.11586478,57.11586478,5.67E-15
559,61.20498372,61.20498372,5.24E-15
560,65.5868566,65.5868566,5.96E-15
561,70.28244264,70.28244264,1.47E-14
562,75.31420166,75.31420166,6.01E-15
563,80.70620141,80.70620141,5.27E-15
564,86.48423276,86.48423276,5.29E-15
565,92.67593301,92.67593301,1.72E-14
566,99.31091814,99.31091814,7.58E-15
567,106.4209244,106.4209244,4.73E-15
568,114.0399602,114.0399602,4.29E-15
569,122.2044687,122.2044687,6.13E-15
570,130.953502,130.953502,7.79E-15
571,140.3289085,140.3289085,9.19E-15
572,150.3755321,150.3755321,8.21E-15
573,161.1414277,161.1414277,1.25E-14
574,172.6780904,172.6780904,9.84E-15
575,185.040702,185.040702,4.76E-15
576,198.2883949,198.2883949,1.51E-14
577,212.4845352,212.4845352,1.54E-14
578,227.6970255,227.6970255,2.73E-14
579,243.9986297,243.9986297,3.01E-14
580,261.4673212,261.4673212,1.56E-14
581,280.1866556,280.1866556,1.21E-14
582,300.2461709,300.2461709,9.70E-15
583,321.7418151,321.7418151,2.04E-14
584,344.7764055,344.7764055,1.25E-14
585,369.4601205,369.4601205,4.69E-14
586,395.9110266,395.9110266,7.18E-15
587,424.2556431,424.2556431,7.47E-15
588,454.629547,454.629547,5.22E-15
589,487.1780219,487.1780219,5.62E-14
590,522.0567528,522.0567528,9.88E-15
591,559.4325706,559.4325706,5.64E-14
592,599.4842503,599.4842503,1.62E-14
593,642.4033659,642.4033659,1.18E-14
594,688.395207,688.395207,3.44E-14
595,737.6797603,737.6797603,8.70E-14
596,790.4927623,790.4927623,9.36E-15
597,847.0868267,847.0868267,6.20E-14
598,907.7326525,907.7326525,8.24E-15
599,972.7203192,972.7203192,6.72E-14
600,1042.360674,1042.360674,2.01E-14
601,1116.986818,1116.986818,1.57E-14
602,1196.955702,1196.955702,1.98E-14
603,1282.649831,1282.649831,1.13E-13
604,1374.479093,1374.479093,5.28E-14
605,1472.882724,1472.882724,4.07E-14
606,1578.331406,1578.331406,5.85E-15
607,1691.329517,1691.329517,7.84E-14
608,1812.417547,1812.417547,2.82E-13
609,1942.174681,1942.174681,1.20E-13
610,2081.22157,2081.22157,2.39E-13
611,2230.223298,2230.223298,3.34E-13
612,2389.892566,2389.892566,2.03E-13
613,2560.9931,2560.9931,9.46E-14
614,2744.343303,2744.343303,4.07E-13
615,2940.820171,2940.820171,5.85E-14
616,3151.363485,3151.363485,1.91E-13
617,3376.980311,3376.980311,2.22E-13
618,3618.749812,3618.749812,2.11E-13
619,3877.828415,3877.828415,1.82E-13
620,4155.455335,4155.455335,8.06E-13
621,4452.95851,4452.95851,3.23E-13
622,4771.760949,4771.760949,1.37E-13
623,5113.387538,5113.387538,5.83E-13
624,5479.472337,5479.472337,6.53E-13
625,5871.766391,5871.766391,3.04E-14
626,6292.14611,6292.14611,2.39E-13
627,6742.622242,6742.622242,3.73E-13
628,7225.349492,7225.349492,2.21E-13
629,7742.636827,7742.636827,1.05E-12
630,8296.958521,8296.958521,8.65E-13
631,8890.96599,8890.96599,7.48E-14
632,9527.500472,9527.500472,3.44E-13
633,10209.60662,10209.60662,3.90E-13
634,10940.54707,10940.54707,8.74E-14
635,11723.81803,11723.81803,8.92E-13
636,12563.16602,12563.16602,5.71E-14
637,13462.60579,13462.60579,4.20E-13
638,14426.43951,14426.43951,1.30E-13
639,15459.27736,15459.27736,4.91E-14
640,16566.05959,16566.05959,1.78E-12
641,17752.08012,17752.08012,6.64E-13
642,19023.01189,19023.01189,1.35E-12
643,20384.93398,20384.93398,8.91E-13
644,21844.36071,21844.36071,3.86E-13
645,23408.27276,23408.27276,3.62E-13
646,25084.15059,25084.15059,8.19E-13
647,26880.01022,26880.01022,1.48E-12
648,28804.44153,28804.44153,4.68E-13
649,30866.64943,30866.64943,2.12E-12
650,33076.49781,33076.49781,2.05E-12
651,35444.55674,35444.55674,1.14E-12
652,37982.15306,37982.15306,6.36E-13
653,40701.42453,40701.42453,4.45E-12
654,43615.37789,43615.37789,1.46E-12
655,46737.95108,46737.95108,3.51E-12
656,50084.0799,50084.0799,6.45E-12
657,53669.76946,53669.76946,2.48E-12
658,57512.17072,57512.17072,4.29E-12
659,61629.66255,61629.66255,2.61E-12
660,66041.93962,66041.93962,1.18E-11
661,70770.10661,70770.10661,2.19E-12
662,75836.77915,75836.77915,3.62E-12
663,81266.192,81266.192,5.84E-13
664,87084.31498,87084.31498,7.23E-13
665,93318.97716,93318.97716,9.62E-12
666,100000,100000,4.13E-12
667,107159.34,107159.34,1.27E-11
668,114831.2415,114831.2415,6.39E-12
669,123052.4004,123052.4004,1.22E-12
670,131862.1401,131862.1401,2.28E-11
671,141302.5991,141302.5991,6.27E-12
672,151418.9325,151418.9325,2.25E-12
673,162259.5287,162259.5287,6.22E-12
674,173876.24,173876.24,7.92E-12
675,186324.6312,186324.6312,2.99E-12
676,199664.245,199664.245,1.69E-11
677,213958.8871,213958.8871,1.01E-11
678,229276.9313,229276.9313,5.79E-12
679,245691.6463,245691.6463,1.95E-11
680,263281.5466,263281.5466,2.33E-11
681,282130.7676,282130.7676,1.86E-12
682,302329.4684,302329.4684,2.47E-11
683,323974.263,323974.263,5.15E-12
684,347168.6819,347168.6819,1.40E-11
685,372023.6681,372023.6681,7.91E-12
686,398658.1074,398658.1074,2.32E-11
687,427199.3966,427199.3966,4.09E-11
688,457784.0538,457784.0538,4.23E-11
689,490558.3706,490558.3707,3.25E-11
690,525679.1122,525679.1122,5.82E-12
691,563314.2671,563314.2671,2.48E-11
692,603643.8506,603643.8506,2.69E-11
693,646860.7661,646860.7661,8.95E-12
694,693171.7276,693171.7276,4.33E-11
695,742798.2483,742798.2483,2.09E-11
696,795977.7002,795977.7003,7.43E-11
697,852964.45,852964.45,2.93E-11
698,914031.0749,914031.0748,4.89E-11
699,979469.667,979469.667,4.79E-11
700,1049593.231,1049593.231,7.54E-12
701,1124737.178,1124737.178,1.07E-10
702,1205260.937,1205260.937,1.32E-11
703,1291549.665,1291549.665,7.38E-11
704,1384016.097,1384016.097,3.22E-11
705,1483102.514,1483102.514,2.08E-11
706,1589282.866,1589282.866,1.10E-10
707,1703065.029,1703065.029,8.90E-11
708,1824993.245,1824993.245,1.54E-10
709,1955650.716,1955650.716,8.61E-11
710,2095662.399,2095662.4,1.08E-10
711,2245697.996,2245697.996,7.53E-12
712,2406475.15,2406475.151,2.92E-10
713,2578762.888,2578762.888,2.31E-10
714,2763385.289,2763385.29,1.00E-10
715,2961225.437,2961225.438,1.28E-10
716,3173229.634,3173229.635,3.20E-10
717,3400411.932,3400411.932,9.92E-11
718,3643858.985,3643858.983,4.37E-10
719,3904735.236,3904735.236,1.14E-10
720,4184288.509,4184288.508,2.58E-10
721,4483855.948,4483855.948,1.50E-11
722,4804870.441,4804870.441,6.47E-11
723,5148867.449,5148867.447,4.78E-10
724,5517492.377,5517492.377,4.90E-11
725,5912508.414,5912508.415,2.05E-10
726,6335804.994,6335804.997,5.36E-10
727,6789406.816,6789406.806,1.49E-09
728,7275483.529,7275483.532,4.67E-10
729,7796360.132,7796360.141,1.14E-09
730,8354528.06,8354528.058,2.99E-10
731,8952657.129,8952657.139,1.16E-09
732,9593608.288,9593608.291,2.88E-10
733,10280447.33,10280447.32,4.30E-10
734,11016459.51,11016459.51,2.77E-10
735,11805165.29,11805165.28,6.54E-10
736,12650337.19,12650337.2,7.34E-10
737,13556017.84,13556017.84,2.34E-10
738,14526539.26,14526539.26,2.07E-10
739,15566543.59,15566543.59,3.00E-10
740,16681005.37,16681005.37,1.94E-10
741,17875255.26,17875255.23,1.99E-09
742,19155005.56,19155005.52,2.42E-09
743,20526377.54,20526377.52,5.82E-10
744,21995930.67,21995930.69,6.03E-10
745,23570694.15,23570694.17,8.30E-10
746,25258200.25,25258200.23,7.31E-10
747,27066520.76,27066520.7,2.02E-09
748,29004304.95,29004304.94,2.81E-10
749,31080821.73,31080821.83,3.12E-09
